ID,SUM13,,,,,,,,,,,,,,,,,,
Location,Sumatra,,,,,,,,,,,,,,,,,,
Sublocation,Tuangku,,,,,,,,,,,,,,,,,,
GSFileOriginal,SUM13distributions.txt,,,,,,,,,,,,,,,,,,
TypeGS,ST,,,,,,,,,,,,,,,,,,
WhosGS,Brentwood Higman,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Depth Units,cm,,,,,,,,,,,,,,,,,,
Bin Units,phi,,,,,,,,,,,,,,,,,,
Distribution Units,relative value,,,,,,,,,,,,,,,,,,
Layer Type,2,1,1,4,4,4,4,4,4,4,4,1,1,2,2,2,2,2,2
Layer,5,4,4,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1
Trench Name,,,,,,,,,,,,,,,,,,,
Sample ID,SUM13A,SUM13B,SUM13C,SUM13D,SUM13E,SUM13F,SUM13G,SUM13H,SUM13I,SUM13J,SUM13K,SUM13L,SUM13M,SUM13N,SUM13O,SUM13P,SUM13Q,SUM13R,SUM13S
Min Depth,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
Max Depth,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5
,,,,,,,,,,,,,,,,,,,
-0.025,0.109863,0.0204858,0.0581616,0.00348425,0.0205448,0.0832492,0.0461181,0.0103101,0.0772124,0.383056,0.215359,0.0235784,0.156399,0.111297,0.221679,0.0391028,0.0548404,0.107753,-0.000929533
0.025,0.129011,0.119947,0.0609557,0.0388943,0.0841761,0.17985,0.217026,0.0985184,0.111687,0.230661,0.174273,0.001709,0.242257,0.264163,0.249299,0.172178,0.19691,0.151543,0.00450633
0.075,0.136155,0.155549,0.0317735,0.0947241,0.118631,0.291762,0.164191,0.219361,0.294027,0.079967,0.269754,0.0383009,0.215097,0.254039,0.315302,0.186591,0.29509,-0.00860261,0.0756501
0.125,0.134479,0.120073,0.00534409,0.0682983,0.134134,0.333396,0.0350062,0.179911,0.254346,0.0622386,0.245207,0.107565,0.186794,0.338743,0.11483,0.259924,0.123749,0.0585034,0.119495
0.175,0.168833,0.0790737,0.026172,0.0718148,0.220858,0.276098,0.120197,0.117543,0.223805,0.240057,0.38983,0.102579,0.29751,0.831339,0.0954034,0.4648,0.055584,0.161437,0.0320079
0.225,0.478177,0.185628,0.101331,0.179377,0.318797,0.353187,0.266599,0.262446,0.434771,0.401344,0.590708,0.16769,0.431644,0.780117,0.405275,0.603188,0.436208,0.124991,0.0596858
0.275,0.526689,0.358132,0.221891,0.292262,0.373538,0.430881,0.240569,0.574969,0.545214,0.425169,0.530554,0.314303,0.474918,0.416886,0.847333,0.596348,0.275883,0.146978,0.163877
0.325,0.518859,0.35772,0.43975,0.505195,0.389189,0.484445,0.566881,0.635096,0.496516,0.482572,0.359286,0.456545,0.744531,0.439744,0.596149,0.674502,0.223116,0.137551,0.274117
0.375,0.487242,0.378239,0.93096,0.693412,0.539378,0.490458,0.664765,0.670197,0.440431,0.450862,0.716713,0.496014,0.958428,0.689223,0.850052,0.559497,0.32384,0.259713,0.400225
0.425,0.748646,0.386449,0.843187,0.622448,0.556769,0.647562,0.900901,0.95537,0.781298,0.678069,0.619198,0.487828,0.861592,0.788318,0.762572,0.602537,0.53928,0.576289,0.322739
0.475,0.830839,0.449071,0.731839,0.800184,0.721453,0.722215,0.808971,1.02325,0.847493,0.882594,0.905803,0.596341,0.880261,0.816922,0.688482,0.838903,0.659018,0.75113,0.581427
0.525,0.858059,0.695264,0.788037,0.914363,0.852976,0.803487,0.941602,0.975992,0.764645,1.13865,0.97258,0.673711,0.981688,0.896617,1.01046,0.864057,0.831402,0.696342,0.849849
0.575,0.896648,0.854753,1.05845,0.958149,0.9935,0.718207,1.01161,0.952515,0.918465,1.0019,0.964574,0.964546,1.07542,1.06334,1.2302,1.02979,1.12587,0.824936,0.813879
0.625,1.08117,0.722743,1.20264,0.720852,1.08477,0.941647,1.23916,1.24774,1.06713,1.10224,1.0918,1.21513,1.33929,1.12936,1.31296,1.1046,1.32049,0.923521,0.662476
